"","A","B","C","D","E","F","G","Y","block"
"1",3,5,6,50,15,10,10,28.68,"screen"
"2",1,15,4,50,15,10,30,39.11,"screen"
"3",3,5,4,50,5,30,30,27.57,"screen"
"4",3,15,4,150,5,10,10,42.48,"screen"
"5",1,5,6,150,5,10,30,26.82,"screen"
"6",3,15,6,150,15,30,30,40.27,"screen"
"7",1,5,4,150,15,30,10,26.95,"screen"
"8",1,15,6,50,5,30,10,37.06,"screen"
"9",2,10,5,100,10,20,20,35.72,"center"
"10",2,10,5,100,10,20,20,35.97,"center"
"11",2,10,5,100,10,20,20,34.33,"center"
"12",2,10,5,100,10,20,20,33.64,"center"
"13",3,10.9,5,100,10,20,20,38.65,"ascend"
"14",4,12.8,5,100,10,20,20,42.69,"ascend"
"15",5,15.6,5,100,10,20,20,45.62,"ascend"
"16",6,19.3,5,100,10,20,20,50.25,"ascend"
"17",7,23.9,5,100,10,20,20,58.31,"ascend"
"18",8,29.5,5,100,10,20,20,59.91,"ascend"
"19",9,36,5,100,10,20,20,71.29,"ascend"
"20",10,43.4,5,100,10,20,20,75.57,"ascend"
"21",11,51.7,5,100,10,20,20,80.71,"ascend"
"22",12,61,5,100,10,20,20,83.09,"ascend"
"23",13,71.2,5,100,10,20,20,86.01,"ascend"
"24",13.4,60,5,100,10,20,20,83.54,"BO"
"25",11.1,60,5,100,10,20,20,86.3,"BO"
"26",11.1,90,5,100,10,20,20,77.6,"BO"
"27",13.4,85,5,100,10,20,20,84.54,"BO"
"28",11.1,80,5,100,10,20,20,84.5,"BO"
"29",13.4,90,5,100,10,20,20,81.74,"BO"
"30",11.1,70,5,100,10,20,20,87.4,"BO"
"31",13.4,65,5,100,10,20,20,85.74,"BO"
"32",13.1,70,5,100,10,20,20,87.24,"validation"
